MaTruong,TenTruong,DiaChi,Website,TinhThanh,DVChuQuan
DCN,Trường Đại học Công nghiệp Hà Nội,"Số 298 đường Cầu Diễn, quận Bắc Từ Liêm, TP. Hà Nội",www.haui.edu.vn,TP. Hà Nội,Bộ Công Thương
DCT,Trường Đại học Công nghiệp Thực phẩm tp. Hồ Chí Minh,"140 Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, TP. Hồ Chí Minh",tuyensinh.hufi.edu.vn,TP. Hồ Chí Minh,Bộ Công Thương
DCV,Trường Đại học Công nghiệp Vinh,"Số 26, Đường Nguyễn Thái Học, TP Vinh, Nghệ An",www.iuv.edu.vn,Nghệ An,Bộ Giáo Dục Và Đào Tạo
DDA,Trường Đại học Công nghệ Đông Á,"Khu Xuân Ổ A, Phường Võ Cường, TP Bắc Ninh, Bắc Ninh",eaut.edu.vn,Bắc Ninh,Bộ Giáo Dục Và Đào Tạo
DDB,Trường Đại học Thành Đông,"Số 3 Vũ Công Đán, Phường Tứ Minh, Hải Dương",thanhdong.edu.vn,Hải Dương,Bộ Giáo Dục Và Đào Tạo
DDD,Trường Đại học Đông Đô,"Km25, quốc lộ 6, Phú Nghĩa, Chương Mỹ, Hà Nội",www.hdiu.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
DDI,Khoa Công nghệ thông tin và truyền thông - Đại học Đà Nẵng,"Đô thị Đại học Đà Nẵng, đường Nam Kỳ Khởi Nghĩa, Đà Nẵng",sict.udn.vn,Đà Nẵng,Bộ Giáo Dục Và Đào Tạo
DDK,Trường Đại họ̣c Bách khoa - Đại học Đà Nẵng,"54 Nguyễn Lương Bằng, phường Hòa Khánh, quận Liên Chiểu, Đà Nẵng",www.dut.udn.vn,Đà Nẵng,Bộ Giáo Dục Và Đào Tạo
DDL,Trường Đại học Điện lực,"Số 235, Hoàng Quốc Việt, Bắc Từ Liêm, Hà Nội",www.epu.edu.vn,Hà Nội,Bộ Công Thương
DDM,Trường Đại học Công nghiệp Quảng Ninh,"Xã Yên Thọ, Thị xã Đông Triều,Tnh Quảng Ninh",qui.edu.vn,Tnh Quảng Ninh,Bộ Công Thương
DDN,Trường Đại học Đại Nam,"Số 1, phố Xốm, phường Phú Lãm, Hà Đông, Hà Nội",www.dainam.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
DDP,Phân hiệu Đại học Đà Nẵng tại KonTum,"704 Phan Đình Phùng, Quang Trung, Kon Tum",kontum.udn.vn,Kon Tum,Bộ Giáo Dục Và Đào Tạo
DDS,Trường Đại họ̣c Sư phạm - Đại học Đà Nẵng,"số 459 đường Tôn Đức Thắng, quận Liên Chiểu, TP. Đà Nẵng",ued.udn.vn,TP. Đà Nẵng,Bộ Giáo Dục Và Đào Tạo
DDT,Trường Đại học Duy Tân,"254 Nguyễn Văn Linh, Thạc Gián, Thanh Khê, Đà Nẵng",www.duytan.edu.vn,Đà Nẵng,Bộ Giáo Dục Và Đào Tạo
DDV,Viện Nghiên cứu và Đào tạo Việt - Anh thuộc Đại học Đà Nẵng,"158A Lê Lợi, Quận Hải Châu 1, Đà Nẵng",www.vnuk.udn.vn,Đà Nẵng,Đại Học Đà Nẵng
DHP,Trường Đại học Dân lập Hải Phòng,"Số 36 - Đường Dân Lập, Phường Dư Hàng Kênh, Quận Lê Chân, Hải Phòng",www.hpu.edu.vn,Hải Phòng,Bộ Giáo Dục Và Đào Tạo
DHQ,Phân hiệu Đại học Huế tại Quảng Trị,"Đường Điện Biên Phủ, phường Đông Lương",phqt.hueuni.vn,phường Đông Lương,Đại Học Huế
DHT,Trường Đại học Khoa học - Đại học Huế,"Số 77 Nguyễn Huệ, thành phố Huế, tỉnh Thừa Thiên Huế",www.husc.edu.vn,tỉnh Thừa Thiên Huế,Đại Học Huế
DHV,Trường Đại học Hùng Vương - tp. Hồ Chí Minh,"736 Nguyễn Trãi, Phường 11, Quận 5, TP. HCM",www.hvuh.edu.vn,TP. HCM,Bộ Giáo Dục Và Đào Tạo
DKB,Trường Đại học Kinh tế - Kỹ thuật Bình Dương,"530 Đại lộ Bình Dương, P. Hiệp Thành, Tp. Thủ Dầu Một, Bình Dương",www.ktkt.edu.vn,Bình Dương,Bộ Giáo Dục Và Đào Tạo
DKC,Trường Đại học Công nghệ Tp. Hồ Chí Minh,"475A Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TP. Hồ Chí Minh",www.hutech.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
DKD,Trường Đại học Kinh tế Kỹ thuật Công nghiệp (Cơ sở Nam Định),"Số 353 Trần Hưng Đạo, Phường Bà Triệu, Nam Định",www.uneti.edu.vn,Nam Định,Bộ Công Thương
DKK,Trường Đại học Kinh tế Kỹ thuật Công nghiệp (Cơ sở Hà Nội)," Số 353 Trần Hưng Đạo, Phường Bà Triệu, Nam Định",www.uneti.edu.vn,Nam Định,Bộ Công Thương
DKT,Trường Đại học Hải Dương,"Khu Đô thị phía Nam, Hải Dương",uhd.edu.vn,Hải Dương,UBND Tỉnh Hải Dương
DLA,Trường Đại học Kinh tế Công nghiệp Long An,"938 Quốc lộ 1, Phường Khánh Hậu, Thành Phố Tân An, Long An",www.daihoclongan.edu.vn,Long An,Bộ Giáo Dục Và Đào Tạo
DLH,Trường Đại học Lạc Hồng,"Số 10 Huỳnh Văn Nghệ, P. Bửu Long, TP. Biên Hòa, Đồng Nai",lhu.edu.vn,Đồng Nai,Bộ Giáo Dục Và Đào Tạo
DNC,Trường Đại học nam Cần Thơ,"số 168 Nguyễn Văn Cừ (nối dài), Phường An Bình, Q. Ninh Kiều, Cần Thơ",www.nctu.edu.vn,Cần Thơ,Bộ Giáo Dục Và Đào Tạo
DNT,Trường Đại học Ngoại ngữ - Tin học TP.HCM,"155 Sư Vạn Hạnh (nối dài), phường 13, quận 10, TP. Hồ Chí Minh",huflit.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
DNV,Trường Đại học Nội vụ Hà Nội,"36 Xuân La, phường Xuân La, quận Tâu Hồ, Hà Nội",truongnoivu.edu.vn,Hà Nội,Bộ Nội Vụ
DPC,Trường Đại học Phan Châu Trinh,"02 Trần Hưng Đạo, Hội An, Quảng Nam",www.pctu.edu.vn,Quảng Nam,Bộ Giáo Dục Và Đào Tạo
DPD,Trường Đại học Dân lập Phương Đông,"171 Trung Kính, quận Cầu Giấy, Hà Nội",phuongdong.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
DPQ,Trường Đại học Phạm Văn Đồng,"509 Phan Đình Phùng (Phường Chánh Lộ), Thành phố Quảng Ngãi, Quảng Ngãi",pdu.edu.vn,Quảng Ngãi,UBND Tỉnh Quảng Ngãi
DPT,Trường Đại học Phan Thiết,"225 Nguyễn Thông, Phú Hài, Phan Thiết, Bình Thuận",upt.edu.vn,Bình Thuận,Bộ Giáo Dục Và Đào Tạo
DPX,Trường Đại học Dân lập Phú Xuân,"28 Nguyễn Tri Phương, Phú Hội, Thành phố Huế, Thừa Thiên Huế",phuxuanuni.edu.vn,Thừa Thiên Huế,Bộ Giáo Dục Và Đào Tạo
DPY,Trường Đại học Phú Yên,"18 Trần Phú, Phường 7, Thành phố Tuy Hòa, Phú Yên",www.pyu.edu.vn,Phú Yên,UBND Tỉnh Phú Yên
DQB,Trường Đại học Quảng Bình,"312 Lý Thường Kiệt, Đồng Phú, Đồng Hới, Quảng Bình",quangbinhuni.edu.vn,Quảng Bình,UBND Tỉnh Quảng Bình
DQH,Học viên Kỹ thuật Quân sự (hệ Dân sự),"236 Hoàng Quốc Việt, Cổ Nhuế, Bắc Từ Liêm, Hà Nội",mta.edu.vn,Hà Nội,Bộ Quốc Phòng
DQK,Trường Đại học Kinh doanh và Công nghệ Hà Nội,"Số 29A, Ngõ 124, Phố Vĩnh Tuy, Phường Vĩnh Tuy, Q. Hai Bà Trưng, Hà Nội",www.hubt.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
DQN,Trường Đại học Quy Nhơn,"170 An Dương Vương, Nguyễn Văn Cừ, Thành phố Qui Nhơn, Bình Định",www.qnu.edu.vn,Bình Định,Bộ Giáo Dục Và Đào Tạo
DQT,Trường Đại học Quang Trung,"Đường Đào Tấn, Khu vực 4-5, Phường Nhơn Phú, Thành Phố Quy Nhơn, Bình Định",www.qtu.edu.vn,Bình Định,Bộ Giáo Dục Và Đào Tạo
DQU,Trường Đại học Quảng Nam,"102 Hùng Vương, thành phố Tam Kỳ, Quảng Nam",qnamuni.edu.vn,Quảng Nam,UBND Tỉnh Quảng Nam
DSG,Trường Đại học Công nghệ Sài Gòn,"180 Đường Cao Lỗ, Phường 4, Quận 8, TP. Hồ Chí Minh",www.stu.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
DSK,Trường Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,"48 Cao Thắng, Quận Hải Châu, Đà Nẵng",www.ute.udn.vn,Đà Nẵng,Bộ Giáo Dục Và Đào Tạo
DTA,Trường Đại học Thành Tây,"Phường Yên Nghĩa, Quận Hà Đông, TP. Hà Nội",thanhtay.edu.vn,TP. Hà Nội,Bộ Giáo Dục Và Đào Tạo
DTC,Trường Đại học Công nghệ Thông tin và Truyền thông - Đại học Thái Nguyên,"Đường Z115, Quyết Thắng, TP Thái Nguyên",www.ictu.edu.vn,TP Thái Nguyên,Đại Học Thái Nguyên
DTD,Trường Đại học Tây Đô,"Số 68, Đường Trần Chiên, Khu vực Thạnh Mỹ, Phường Lê Bình, Quận Cái Răng, Cần Thơ",www.tdu.edu.vn,Cần Thơ,Bộ Giáo Dục Và Đào Tạo
DTH,Trường Đại học Hoa Sen,"Số 8 Nguyễn Văn Tráng, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",www.hoasen.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
DTK,Trường Đại học Kỹ thuật Công nghiệp - Đại học Thái Nguyên,"Số 666 Đường 3-2, P.Tích Lương, Thái Nguyên",tnut.edu.vn,Thái Nguyên,Bộ Giáo Dục Và Đào Tạo
DTL,Trường Đại học Thăng Long,"Phường Đại Kim, quận Hoàng Mai, Hà Nội",www.thanglong.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
DTM,Trường Đại học Tài nguyên và Môi Trường tp. Hồ Chí Minh,"236B Lê Văn Sỹ, Phường 1, Quận Tân Bình, TP. Hồ Chí Minh",hcmunre.edu.vn,TP. Hồ Chí Minh,Bộ Tài Nguyên Và Môi Trường
DTT,Trường Đại học Tôn Đức Thắng,"Số 19 Nguyễn Hữu Thọ, Tân Hưng, Quận 7, TP. Hồ Chí Minh ",tdtu.edu.vn,TP. Hồ Chí Minh,Tổng Liên Đoàn Lao Động Việt Nam
DTV,Trường Đại học Lương Thế Vinh,"Phường Lộc Vượng, Nam Định",ltvu.edu.vn,Nam Định,Bộ Giáo Dục Và Đào Tạo
DVB,Trường Đại học Việt bắc,"QL 1B, Đồng Bẩm, Thành phố Thái Nguyên, Thái Nguyên",vietbac.edu.vn,Thái Nguyên,Bộ Giáo Dục Và Đào Tạo
DVH,Trường Đại học Văn Hiến,"665-667-669 Điện Biên Phủ, Phường 1, Quận 3, TP. Hồ Chí Minh",www.vhu.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
DVL,Trường Đại học Văn Lang,"45 Nguyễn Khắc Nhu, Phường Cô Giang, Quận 1, TP. Hồ Chí Minh",www.vanlanguni.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
DVT,Trường Đại học Trà Vinh,"126, Nguyễn Thiện Thành, Khóm 4, Phường 5, Trà Vinh",www.tvu.edu.vn,Trà Vinh,UBND Tỉnh Trà Vinh
DVX,Trường Đại học Công nghệ Vạn Xuân,"103 Nguyễn Sinh Cung, Nghi Hương, Cửa Lò, Nghệ An",vxut.edu.vn,Nghệ An,Bộ Giáo Dục Và Đào Tạo
DYD,Trường Đại học Yersin Đà Lạt,"27 Tôn Thất Tùng, Phường 8, Thành phố Đà Lạt, Lâm Đồng",yersin.edu.vn,Lâm Đồng,Bộ Giáo Dục Và Đào Tạo
EIU,Trường Đại học Quốc tế miền Đông,"Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Phú, Thành phố Thủ Dầu Một, Bình Dương",www.eiu.edu.vn,Bình Dương,Bộ Giáo Dục Và Đào Tạo
ETU,Trường Đại học Hòa Bình,"Số 8 phố Bùi Xuân Phái, Mỹ Đình 2, Nam Từ Liêm, Hà Nội",www.daihochoabinh.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
DCG,Trường Đại học Tư thục Công nghệ Thông tin Gia Định,"A15-19 Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TP. Hồ Chí Minh",www.giadinh.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
GUST,Học viện Khoa học và Công nghệ,"Số 18 đường Hoàng Quốc Việt, Cầu Giấy, Hà Nội",http://gust.edu.vn/vn,Hà Nội,Viện Hàn Lâm Khoa Học Và Công Nghệ Việt Nam
FBU,Trường Đại học Tài chính - Ngân hàng Hà Nội,"136 Phạm Văn Đồng, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",fbu.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
FPT,Trường Đại học Fpt,"Khu Giáo dục và Đào tạo - Khu Công nghệ cao Hòa Lạc - Km29 Đại lộ Thăng Long, Thạch Thất, TP. Hà Nội",daihoc.fpt.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
GTA,Trường Đại học Công nghệ Giao thông Vận tải,"54 Triều Khúc, Thanh Xuân, Tp. Hà Nội",utt.edu.vn,Hà Nội,Bộ Giao Thông Vận Tải
GTS,Trường Đại học Giao thông Vận tải tp. Hồ Chí Minh,"Số 2, đường D3, Phường 25, Q. Bình Thạnh, TP. Hồ Chí Minh",www.ut.edu.vn,TP. Hồ Chí Minh,Bộ Giao Thông Vận Tải
HDT,Trường Đại học Hồng Đức,"Số 565 Quang Trung 3, Phường Đông Vệ, Thanh Hóa",www.hdu.edu.vn,Thanh Hóa,UBND Tỉnh Thanh Hóa
HHA,Trường Đại học Hàng hải Việt Nam,"484 Lạch Tray, Đổng Quốc Bình, Lê Chân, Hải Phòng",vimaru.edu.vn,Hải Phòng,Bộ Giao Thông Vận Tải
HHT,Trường Đại học Hà Tĩnh,"447 Đường 26/3, Phường Đại Nài, Thành phố Hà Tĩnh, Hà Tĩnh",htu.edu.vn,Hà Tĩnh,UBND Tỉnh Hà Tĩnh
HIU,Trường Đại học Quốc tế Hồng Bàng,"215 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, TP. HCM",www.hiu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
HLU,Trường Đại học Hạ Long,"Số 258, Đường Bạch Đằng, P. Nam Khê, TP Uông Bí, Tỉnh Quảng Ninh",daihochalong.edu.vn,Tỉnh Quảng Ninh,UBND Tỉnh Quảng Ninh
HNM,Trường Đại học Thủ đô Hà Nội,"Số 98 Dương Quảng Hàm, Quan Hoa, Cầu Giấy, Hà Nội",www.daihocthudo.edu.vn,Hà Nội,UBND TP. Hà Nội
HUI,Trường Đại học Công nghiệp tp. Hồ Chí Minh,"Số 12 Nguyễn Văn Bảo, Phường 4, Quận Gò Vấp, Tp.Hồ Chí Minh",www.hui.edu.vn,TP. Hồ Chí Minh,Bộ Công Thương
HVN,Học viện Nông nghiệp Việt Nam,"Trâu Quỳ, Gia Lâm, Hà Nội",www.vnua.edu.vn,Hà Nội,Bộ Nông Nghiệp Và Phát Triển Nông Thôn
HVQ,Học viện Quản lý Giáo dục,"Số 31 phố Phan Đình Giót, phường Phương Liệt, quận Thanh Xuân, Hà Nội.",naem.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
KCC,Trường Đại học Kỹ thuật - Công nghệ Cần Thơ,"256 Nguyễn Văn Cừ, P. An Hòa, Q. Ninh Kiều, TP. Cần Thơ",www.ctuet.edu.vn,Cần Thơ,Bộ Giáo Dục Và Đào Tạo
KCN,Trường Đại học Khoa học và Công nghệ Hà Nội,"Tòa nhà A21, Số 18 Hoàng Quốc Việt, P. Nghĩa Đô, Q. Cầu Giấy, Hà Nội",usth.edu.vn,Hà Nội,Viện Hàn Lâm Khoa Học Và Công Nghệ Việt Nam
KHA,Trường Đại học Kinh tế Quốc dân,"Số 207 đường Giải Phóng, quận Hai Bà Trưng, Hà Nội",neu.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
KMA,Học viện Kỹ thuật Mật mã,"Số 141 đường Chiến Thắng, Tân Triều, Thanh Trì, Hà nội",actvn.edu.vn,Hà Nội,Ban Cơ Yếu Chính Phủ
KSA,Trường Đại học Kinh tế tp. Hồ Chí Minh,"59C Nguyễn Đình Chiểu, phường 6, quận 3, TP. Hồ Chí Minh",www.ueh.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
KTA,Đại học Kiến trúc Hà Nội,"Km 10 đường Nguyễn Trãi, quận Thanh Xuân, TP Hà Nội",www.hau.edu.vn,Hà Nội,Bộ Xây Dựng
KTC,Trường Đại học Kinh tế - Tài chính tp. Hồ Chí Minh,"276 Điện Biên Phủ, phường 17, quận Bình Thạnh, Tp.HCM",uef.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
KTD,Trường Đại học Kiến trúc Đà Nẵng,"Số 566 Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",www.dau.edu.vn,Đà Nẵng,Bộ Giáo Dục Và Đào Tạo
LNH,Trường Đại học Lâm nghiệp (Phía Bắc),"Thị trấn Xuân Mai, Chương Mỹ, Hà Nội",www.vnuf.edu.vn,Hà Nội,Bộ Nông Nghiệp Và Phát Triển Nông Thôn
MBS,Trường Đại học Mở tp. Hồ Chí Minh,"97 Võ Văn Tần, P.6, Q.3, Tp.HCM",www.ou.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
MDA,Trường Đại học Mỏ - Địa chất,"Số 18 Phố Viên, Phường Đức Thắng, Q. Bắc Từ Liêm, Hà Nội",humg.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
MHN,Viện Đại học Mở Hà Nội,"B101, đường Nguyễn Hiền, quận Hai Bà Trưng, Hà Nội",hou.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
NHF,Trường Đại học Hà Nội,"Km 9, Đường Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",www.hanu.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
NLS,Trường Đại học Nông lâm Tp. Hồ Chí Minh,"Khu phố 6, P. Linh Trung, Q. Thủ Đức, TP. Hồ Chí Minh",www.nlu.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
NTT,Trường Đại học Nguyễn Tất Thành,"300A Nguyễn Tất Thành P13 Q4, TPHCM",ntt.edu.vn,TP. Hồ Chí Minh,Bộ Công Thương
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội,"Nhà E3, 144 Xuân Thủy, Cầu Giấy, Hà Nội",www.uet.vnu.edu.vn,Hà Nội,Đại Học Quốc Gia Hà Nội
QHQ,Khoa Quốc tế - Đại học Quốc gia Hà Nội,"144 Xuân Thủy, Cầu Giấy, Hà Nội",www.is.vnu.edu.vn,Hà Nội,Đại Học Quốc Gia Hà Nội
QHT,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội,"334 đường Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",hus.vnu.edu.vn,Hà Nội,Đại Học Quốc Gia Hà Nội
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,"Khu phố 6, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh",www.uit.edu.vn,TP. Hồ Chí Minh,Đại Học Quốc Gia TP. Hồ Chí Minh
QSQ,Trường Đại học Quốc tế - Đại học Quốc gia TP.HCM,"Khu phố 6, P.Linh Trung, Q. Thủ Đức, TP.HCM",www.hcmiu.edu.vn,TP. Hồ Chí Minh,Đại Học Quốc Gia TP. Hồ Chí Minh
QST,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia TP.HCM,"227 Đường Nguyễn Văn Cừ, Phường 4, Quận 5, Hồ Chí Minh",tuyensinh.hcmus.edu.vn,TP. Hồ Chí Minh,Đại Học Quốc Gia TP. Hồ Chí Minh
SDU,Trường Đại học Sao Đỏ,"Số 24, Phố Thái Học 2, Phường Sao Đỏ, Thị xã Chí Linh, Hải Dương",saodo.edu.vn,Hải Dương,Bộ Công Thương
SGD,Trường Đại học Sài Gòn,"273 An Dương Vương, Phường 3, Quận 5, TP. Hồ Chí Minh",www.sgu.edu.vn,TP. Hồ Chí Minh,UBND TP. Hồ Chí Minh
SKH,Trường Đại học Sư phạm Kỹ thuật Hưng Yên,"Xã Dân Tiến, huyện Khoái Châu, Hưng Yên",tuyensinh.utehy.edu.vn,Hưng Yên,Bộ Giáo Dục Và Đào Tạo
SKN,Trường Đại học Sư phạm Kỹ thuật Nam Định,"Đường Phù Nghĩa, Phường Lộc H, Thành Phố Nam Định",www.nute.edu.vn,Nam Định,Bộ Lao Động Thương Binh Và Xã Hội
SKV,Trường Đại học Sư phạm Kỹ thuật Vinh,"Số 117 Đường Nguyễn Viết Xuân, Phường Hưng Dũng, TP. Vinh,  Nghệ An",vuted.edu.vn,Nghệ An,Bộ Lao Động Thương Binh Và Xã Hội
SP2,Trường Đại học Sư phạm Hà Nội 2,"Số 32, đường Nguyễn Văn Linh, phường Xuân Hoà, TP. Phúc Yên, Vĩnh Phúc",hpu2.edu.vn,Vĩnh Phúc,Bộ Giáo Dục Và Đào Tạo
SPD,Trường Đại học Đồng Tháp,"783, Phạm Hữu Lầu, Phường 6, Tp. Cao Lãnh, Đồng Tháp",www.dthu.edu.vn,Đồng Tháp,Bộ Giáo Dục Và Đào Tạo
SPH,Trường Đại học Sư phạm Hà Nội,"Số 136 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",www.hnue.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
SPK,Trường Đại học Sư phạm Kỹ thuật tp. Hồ Chí Minh,"1-3 Võ Văn Ngân, phường Linh Chiểu, Thủ Đức, TP. Hồ Chí Minh",tuyensinh.hcmute.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
SPS,Trường Đại học Sư phạm tp. Hồ Chí Minh,"280 An Dương Vương, Phường 4, Quận 5, TP. Hồ Chí Minh",hcmue.edu.vn,TP. Hồ Chí Minh,Bộ Giáo Dục Và Đào Tạo
TAG,Trường Đại học An Giang,"Số 18 Ung Văn Khiêm, P. Đông Xuyên, TP. Long Xuyên, An Giang",www.agu.edu.vn.,An Giang,UBND Tỉnh An Giang
TBD,Trường Đại học Thái Bình Dương,"Số 79 Mai Thị Dõng, Vĩnh Ngọc, Nha Trang, Khánh Hòa",www.pou.edu.vn,Khánh Hòa,Bộ Giáo Dục Và Đào Tạo
TCT,Trường Đại học Cần Thơ,"Khu II, đường 3/2, P. Xuân Khánh, Q. Ninh Kiều, Cần Thơ",www.ctu.edu.vn,Cần Thơ,Bộ Giáo Dục Và Đào Tạo
TCU,Trường Đại học Thông tin liên lạc,"Số 101, đường Mai Xuân Thưởng, phường Vĩnh Hòa, Nha Trang",tcu.edu.vn,Nha Trang,Bộ Quốc Phòng
TDD,Trường Đại học Thành Đô,"Km 15 Quốc lộ 32, Kim Chung, Hoài Đức,  Hà Nội",thanhdo.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
TDL,Trường Đại học Đà Lạt,"Số 1 Phù Đổng Thiên Vương, Phường 8, Thành phố Đà Lạt, Lâm Đồng",www.dlu.edu.vn,Lâm Đồng,Bộ Giáo Dục Và Đào Tạo
TDM,Trường Đại học Thủ Dầu Một,"Số 6 Trần Văn Ơn, phường Phú Hòa, TP. Thủ Dầu Một, Bình Dương",tdmu.edu.vn,Bình Dương,UBND Tỉnh Bình Dương
TDV,Trường Đại học Vinh,"Số 182, đường Lê Duẩn, thành phố Vinh, Nghệ An",www.vinhuni.edu.vn,Nghệ An,Bộ Giáo Dục Và Đào Tạo
THP,Trường Đại học Hải Phòng,"Số 171 Phan Đăng Lưu, Kiến An, Hải Phòng",dhhp.edu.vn,Hải Phòng,UBND TP. Hải Phòng
THV,Trường Đại học Hùng Vương,"Phường Nông Trang, thành phố Việt Trì,  Phú Thọ",www.hvu.edu.vn,Phú Thọ,UBND Tỉnh Phú Thọ
TKG,Trường Đại học Kiên Giang,"Số 320A, Quốc lộ 61, thị trấn Minh Lương, huyện Châu Thành, Kiên Giang",www.vnkgu.edu.vn,Kiên Giang,Bộ Giáo Dục Và Đào Tạo
TLA,Trường Đại học Thuỷ lợi,"Số 175 Tây Sơn, Trung Liệt, Đống Đa, Hà Nội",tlu.edu.vn,Hà Nội,Bộ Nông Nghiệp Và Phát Triển Nông Thôn
TSN,Trường Đại học Nha Trang,"Số 2 Nguyễn Đình Chiểu, Vĩnh Thọ, Thành phố Nha Trang, Khánh Hòa",ntu.edu.vn,Khánh Hòa,Bộ Giáo Dục Và Đào Tạo
